umlid,treeloss_sum,land_area,forest_area,treeloss_2001,treeloss_2002,treeloss_2003,treeloss_2004,treeloss_2005,treeloss_2006,treeloss_2007,treeloss_2008,treeloss_2009,treeloss_2010,treeloss_2011,treeloss_2012,treeloss_2013,treeloss_2014,treeloss_2015,treeloss_2016,treeloss_2017,treeloss_2018,treeloss_2019,treeloss_sum_proportion_of_land,treeloss_sum_proportion_of_forest,remaining_proportion_of_forest
PO1000007653,443509.8370588236,780653.8369411767,685027.4004705884,4747.783411764705,11731.670823529414,4228.846941176471,12656.672823529412,36136.29811764706,36532.389176470584,19414.37823529412,26763.115411764706,42838.05811764706,46506.37870588235,24990.484588235293,57094.99941176471,28376.643882352946,26780.514,7978.489411764705,18730.286823529408,13188.584117647057,15816.483529411766,8997.759529411765,0.5681261220679079,0.6474337183507534,0.35256628164924664
PO1000007658,282854.6950588235,775236.6547058828,702912.2724705884,2703.5008235294117,5154.50894117647,879.437294117647,5143.346823529412,2797.4082352941177,8889.644823529412,10094.485411764705,9287.206235294118,23380.01505882353,16850.088352941173,20251.377176470585,23690.95235294117,16019.986588235291,32957.179764705885,39528.17611764706,22080.359294117647,17273.659058823527,10216.330941176471,15657.031764705878,0.3648623853655834,0.4024039786140721,0.5975960213859279
PO1000007660,295488.2269411764,784487.3696470585,734342.116235294,5361.283764705882,10948.355647058823,2963.535529411765,9149.796,10025.77305882353,7284.504352941175,12970.809882352944,22562.682352941178,25830.50894117647,11494.90905882353,27529.552941176473,19582.680352941177,17303.41023529411,21098.18929411765,19692.319764705884,27274.91470588235,19739.28423529412,11594.529176470585,13081.187647058823,0.3766640973125122,0.4023849652748197,0.5976150347251803
PO1000007661,409113.7129411763,769083.5767058821,685759.3252941173,5693.45894117647,11661.331764705881,3584.714470588235,9990.32011764706,32098.14494117647,33557.06152941177,18696.773294117647,22943.305411764704,37264.292117647055,42905.38164705882,24384.837529411765,46643.31423529412,24139.52505882353,29348.955176470594,8949.605647058823,17602.558235294116,14687.699999999999,16342.383529411763,8620.049294117647,0.5319496155326591,0.5965849793813746,0.40341502061862544
PO1000007662,212339.78399999999,783894.174,693361.9831764705,6009.262588235293,9259.097647058823,4774.1241176470585,14655.420705882354,15112.606235294117,10210.143529411765,5684.244352941176,6300.575294117646,10133.31211764706,12204.375529411765,11353.812352941175,12802.958823529412,9013.119529411766,17026.204235294117,10509.876352941177,16672.336235294115,14009.083411764706,13365.097411764704,13244.133529411763,0.2708781249342465,0.30624664915606786,0.6937533508439322
PO1000007664,297720.8477647057,787224.9607058823,755022.0007058822,9219.146823529412,10625.632588235294,4482.763411764706,21798.34023529411,15381.87670588235,23506.388117647053,18980.459294117645,8337.865764705883,22345.258941176467,16176.632117647056,10841.735647058824,31278.88235294117,14747.01776470588,23095.204588235294,21590.044235294117,14959.766117647056,13302.15494117647,8775.405882352941,8276.272235294116,0.3781903047100385,0.3943207581850088,0.6056792418149912
PO1000007672,303070.6856470587,776820.8085882355,737404.0987058826,4973.697176470588,8967.881647058823,4215.160588235294,7429.360235294119,6474.506117647058,10312.974705882352,12465.115058823529,16457.930470588235,19592.97494117647,9418.105764705884,31958.692235294104,26843.9294117647,21380.700352941174,24696.83788235294,27258.06599999999,22274.493882352937,23236.963058823523,13261.681411764705,11851.614705882354,0.3901423369410608,0.410996746802651,0.589003253197349
PO1000007673,285909.7605882352,702053.8185882354,597337.1767058824,5090.9177647058805,4550.236941176471,3957.225176470588,13477.564235294116,20315.65588235294,19861.872,20335.79788235294,25912.939411764703,36666.409411764704,16071.480352941177,19909.52505882353,19377.217058823528,12580.793294117644,24938.81823529412,9079.861058823528,12208.748117647056,8460.33494117647,7568.281058823529,5546.082705882353,0.40724763973675554,0.47864049273633574,0.5213595072636643
PO1000007984,411573.6861176469,778024.7954117646,618107.2432941176,3386.793176470588,14379.081176470592,7783.218705882352,26452.018588235293,31496.539411764705,78785.37670588234,44417.6265882353,40264.76117647059,24166.248352941173,13754.966470588233,24318.854117647057,15124.289294117645,10355.454,14268.18811764706,19174.530352941172,28019.08411764706,5733.75494117647,3720.143294117647,5972.757529411765,0.528998161170203,0.6658612895785229,0.33413871042147714
PO1000008095,373874.52211764705,782236.6496470587,664144.0094117647,2405.889882352941,12351.610588235293,9353.766,24153.912705882358,23241.87352941176,63690.64411764708,35497.29882352941,25188.87811764706,21808.459411764707,14692.75905882353,24248.294823529417,18278.537294117643,11170.210588235293,16850.26235294118,24878.495294117645,30528.545647058825,5547.385764705881,3141.380117647059,6846.318000000001,0.4779557724460205,0.5629419475586167,0.4370580524413833
