,Unnamed: 0,Match Type,Distance Score,Mill Name Score,Mill Company Score,idx,Consumer Company,Country,District,Latitude,Longitude,Mill Name,Consumer Mill Name,Mill Company,Consumer Mill Company,Parent Company,Consumer Parent Company,Province,RSPO,UMLID
7016,7016,Mill Company,44.03305823702615,15,98,7327.0,hershey,indonesia,keerom,-2.784752,140.722898,arso,cot girek,perkebunan nusantara ii,perkebunan nusantara i,ptpn iii,perkebunan nusantara,papua,,po1000011160
7017,7017,Mill Company,5.498579113401559,43,98,27622.0,hershey,indonesia,pasaman barat,0.01405,99.83695,ophir,cot girek,perkebunan nusantara vi,perkebunan nusantara i,ptpn iii,perkebunan nusantara,sumatera barat,,po1000004863
7018,7018,Distance,3.299999917771857e-07,100,100,29212.0,hershey,indonesia,aceh utara,4.9285,97.370667,cot girek,cot girek,perkebunan nusantara i,perkebunan nusantara i,ptpn iii,perkebunan nusantara,aceh,,po1000004311
7023,7023,Distance,0.05736511659819349,36,37,258.0,hershey,indonesia,banyu asin,-2.9059216,104.91387399999999,pt tunas baru lampung tbk,daya semesta agro persada,tunas baru lampung,daya semesta agro persada,sungai budi,pasifik agro sentosa,sumatera selatan,,po1000000553
7024,7024,Distance,4.440892098500626e-16,100,100,865.0,hershey,indonesia,aceh singkil,2.2450799999999997,98.02851,delima makmur,delima makmur,delima makmur,delima makmur,ibris palm,risjadson,aceh,,po1000004155
7025,7025,Distance,0.12494849880650735,45,50,114.0,hershey,indonesia,langkat,3.620806,98.401528,sinar langkat perkasa,"dewa rencana perangin angin eks erakarya 
prima",sinar langkat perkasa,dewa rencana perangin angin,unknown,graha,sumatera utara,,po1000004296
7026,7026,Mill Name,6.2683654340864505,96,100,25.0,hershey,indonesia,kutai timur,1.2508059999999999,116.728917,pt dharma satya nusantara,dharma satya nusantara 1,dharma satya nusantara,dharma satya nusantara,dharma satya nusantara (dsn),dharma satya nusantara,kalimantan timur,"rspo certified, ip",po1000000939
7032,7032,Distance,0.09794871902163974,42,42,90.0,hershey,indonesia,siak,0.9562780000000001,101.140528,libo sawit perkasa,dian anggara persada,libo sawit perkasa,dian anggara persada,unknown,aek natio,riau,,po1000004239
7070,7070,Distance,4.444000000103365e-06,100,100,325.0,hershey,indonesia,kapuas,-0.8419399999999999,114.08,dwie warna karya,dwie warna karya,dwie warna karya,dwie warna karya,genting plantations,genting plantations nusantara,kalimantan tengah,,po1000007648
7071,7071,Distance,0.0227726051430169,100,100,885.0,hershey,indonesia,berau,1.606087,118.04442399999999,dwiwira lestari jaya,dwiwira lestari jaya,dwiwira lestari jaya,dwiwira lestari jaya,triputra agro persada,triputra agro persada,kalimantan timur,,po1000008424
7073,7073,Distance,0.08649828500611256,30,33,104.0,hershey,indonesia,rokan hulu,0.892167,100.699,kota lama,eka dura indonesia,sumber jaya indahnusa coy,eka dura indonesia,unknown,astra agro lestari,riau,,po1000004423
7074,7074,Distance,0.11508349061876165,31,36,26.0,hershey,indonesia,lahat,-3.6330129999999996,103.219098,sungai kikim,ekajaya multiperkasa,sawit mas sejahtera,ekajaya multiperkasa,sinar mas,bukit barisan indah prima,sumatera selatan,,po1000004068
7075,7075,Distance,0.16693755757467876,32,42,51.0,hershey,indonesia,subulussalam,2.62,98.03,subulussalam,ensem lestari,global sawit semesta,ensem lestari,unknown,ensem,aceh,,po1000007646
7077,7077,Distance,0.1494538831512905,30,50,42.0,hershey,indonesia,muaro jambi,-1.6804,103.799883,sumbertama nusa pertiwi,erasakti  3,sumbertama nusapertiwi,erasakti wiraforestama,bakrie,,jambi,,po1000004101
7083,7083,Distance,5.976085801742506e-07,100,100,904.0,hershey,indonesia,kubu raya,-0.8680559999999999,109.628056,fajar saudara lestari,fajar saudara lestari,fajar saudara lestari,fajar saudara lestari,kalimantan sawit kusuma (ksk),kalimantan sawit kusuma,kalimantan barat,,po1000008228
7085,7085,Distance,1.4210854715202004e-14,100,100,220.0,hershey,indonesia,lamandau,-1.85017,111.46938999999999,first lamandau timber international,first lamandau timber international,first lamandau timber international,first lamandau timber international,triputra agro persada,triputra agro persada,kalimantan tengah,,po1000005222
7087,7087,Distance,0.08427827338335186,40,40,76.0,hershey,indonesia,rokan hulu,0.4210390000000001,100.81437199999999,giga putra perkasa,fortius agro asia,giga putra perkasa,fortius agro asia,unknown,non group,riau,,po1000010039
7089,7089,Distance,0.10070305357833377,62,43,47.0,hershey,indonesia,ogan komering ilir,-3.941983,105.10978300000001,permata bunda,garuda bumi perkasa,mutiara bunda jaya,garuda bumi perkasa,sampoerna agro,tudung agrigarudafood,sumatera selatan,"rspo certified, mb",po1000004548
7090,7090,Distance,0.001613452558731107,100,100,1.0,hershey,indonesia,seruyan,-2.951233,112.34703300000001,gawi bahandep sawit mekar,gawi bahandep sawit mekar,gawi bahandep sawit mekar,gawi bahandep sawit mekar,triputra agro persada,triputra agro persada,kalimantan tengah,"rspo certified, mb",po1000001618
7092,7092,Distance,0.0016003024714056607,100,100,220.0,hershey,indonesia,lamandau,-2.125033,111.55536699999999,gemareksa mekarsari,gemareksa mekarsari,gemareksa mekarsari,gemareksa mekarsari,trurich resources,felda,kalimantan tengah,,po1000004525
7093,7093,Distance,0.1806719393454012,78,78,100.0,hershey,indonesia,indragiri hulu,-0.525277778,101.99338890000001,mustika agung sawit gemilang,gemilang sawit lestari,mustika agung sawit gemilang,gemilang sawit lestari,unknown,non group,riau,,po1000011182
7095,7095,Distance,0.0018198384980890035,100,100,117.0,hershey,indonesia,sanggau,0.72975,110.463117,global kalimantan makmur,global kalimantan makmur,global kalimantan makmur,global kalimantan makmur,gelanggang maju bersama,provident agro,kalimantan barat,,po1000004415
7097,7097,Distance,5.0000000002548015e-06,100,100,69.0,hershey,indonesia,ogan ilir,-3.1192,104.69451600000001,golden oilindo nusantara,golden oilindo nusantara,golden oilindo nusantara,golden oilindo nusantara,unknown,modesphil,sumatera selatan,,po1000007509
7098,7098,Distance,0.15430464712703953,35,35,79.0,hershey,indonesia,sukamara,-2.28805,111.167833,kalimantan sawit kusuma,graha cakra mulia,kalimantan sawit kusuma,graha cakra mulia,kalimantan sawit kusuma (ksk),triputra agro persada,kalimantan tengah,,po1000004163
7101,7101,Distance,0.10963363320622936,32,34,146.0,hershey,indonesia,mandailing natal,0.466483,99.37025,sago nauli,gruti lestari pratama,tri bahtera srikandi,gruti lestari pratama,sago nauli,sgrr,sumatera utara,,po1000004386
7102,7102,Distance,0.12999425521550953,25,30,15.0,hershey,indonesia,bengkalis,1.081944,101.333361,mandau,guna agung semesta,adei plantation and industry,guna agung semesta,kuala lumpur kepong (klk),guna agung semesta,riau,"rspo certified, ip",po1000000411
7104,7104,Distance,1.1507914695384651e-06,100,100,946.0,hershey,indonesia,indragiri hilir,0.16161,103.289583,guntung idaman nusa 1,guntung idaman nusa,guntung idaman nusa,guntung idaman nusa,musim mas,bakrie sumatera plantations,riau,"rspo certified, mb",po1000002356
7105,7105,Distance,0.0006042455130164832,100,100,387.0,hershey,indonesia,kota baru,-3.4947222,116.16666699999999,gunung aru,gunung aru,bersama sejahtera sakti,bersama sejahtera sakti,sime darby,sime darbyminamas,kalimantan selatan,"rspo certified, mb",po1000000319
7122,7122,Distance,0.0,100,100,103.0,hershey,indonesia,bangka,-1.96395,105.9516,gunung maras lestari,gunung maras lestari,gunung maras lestari,gunung maras lestari,oriental holdings berhad,oriental holdings berhad,bangka belitung,,po1000004508
7155,7155,Distance,0.09222329092479556,76,76,34.0,hershey,indonesia,kotawaringin barat,-2.38,111.79,gunung sejahtera ibu pertiwi,gunung sejahtera dua indah,gunung sejahtera ibu pertiwi,gunung sejahtera dua indah,astra agro lestari,astra agro lestari,kalimantan tengah,,po1000004179
7160,7160,Distance,0.15458331874484493,41,44,25.0,hershey,indonesia,kutai timur,0.9123370000000001,116.734274,karyanusa eka daya 2,hamparan perkasa mandiri,karyanusa ekadaya,hamparan perkasa mandiri,astra agro lestari,triputra agro persada,kalimantan timur,,po1000008659
7161,7161,Distance,0.1209545807500015,24,30,1.0,hershey,indonesia,seruyan,-2.39805,112.22478999999998,musirawas citraharpindo pks 1,hanau,musirawas citra harpindo,tapian nadenggan,musirawas,smartgolden agri resources gar,kalimantan tengah,,po1000004192
7171,7171,Distance,0.0,96,46,,hershey,indonesia,buol,1.24061,121.414178,hardaya inti plantations,hardaya inti plantations,EMPTY,hardaya inti plantations,hardaya inti plantations,,sulawesi tengah,no,po1000008281
7176,7176,Distance,0.08593333142616663,28,34,117.0,hershey,indonesia,landak,0.153067,109.878198,saban sawit makmur,ichtiar gusti pudi,saban sawit subur,ahmad zaki resources bhd,mandhala cipta purmono,ahmad zaki resources bhd,kalimantan barat,,po1000008140
7177,7177,Distance,0.1967846648531879,31,38,429.0,hershey,indonesia,serdang bedagai,3.367467,99.017833,tunas harapan sawit,indah pontjan,tunas harapan sawit,perusahaan perkebunan  dagang india,unknown,deli muda,sumatera utara,,po1000004336
7178,7178,Distance,0.037831770933066375,29,29,1583.0,hershey,indonesia,karo,3.260417,97.965,sawitta jaya lau pakam,indomas mitra teknik,sawitta jaya lau pakam,indomas mitra teknik,unknown,padasa enam utama,sumatera utara,,po1000004312
7180,7180,Mill Company,1.1959755201859268,40,95,523.0,hershey,indonesia,indragiri hulu,-0.6774720000000001,101.913583,napal,indriplant,idriplant,indriplant,salim group,indofood agri resources,riau,,po1000002651
7181,7181,Distance,0.15983016836942626,38,47,2847.0,hershey,indonesia,pelalawan,0.3525,102.09472199999999,nilo 2,indriplant,adei plantation and industry,indriplant,kuala lumpur kepong (klk),indofood agri resources,riau,"rspo certified, ip",po1000001418
7184,7184,Distance,5.358507235494576e-07,100,100,94.0,hershey,indonesia,bengkalis,1.4326940000000001,101.285667,intan sejati andalan,intan sejati andalan,intan sejati andalan,intan sejati andalan,mahkota,mahkota,riau,,po1000004259
7185,7185,Distance,0.0,100,100,256.0,hershey,indonesia,sarolangun,-2.4164830000000004,102.680667,inti guna nabati,inti guna nabati,inti guna nabati,inti guna nabati,dharma agung wijaya (daw),mitra agrolika,jambi,,po1000004852
7186,7186,Distance,0.17366170706289466,27,27,14.0,hershey,indonesia,kotawaringin timur,-2.1646900000000002,112.56942,mentaya sawit mas,intiga prabhakara kahuripan,mentaya sawit mas,intiga prabhakara kahuripan,wilmar,matahari kahuripan indonesia,kalimantan tengah,"rspo certified, mb",po1000003150
7187,7187,Distance,0.13269479622050462,10,38,132.0,hershey,indonesia,mukomuko,-2.867818,101.43663000000001,gajah sakti sawit,ipuh,gajah sakti sawit,daria dharma pratama,sinar jaya agro investama (sjai),daria dharma,bengkulu,,po1000010256
7188,7188,Distance,0.13046115783661708,33,33,33.0,hershey,indonesia,rokan hulu,1.077988,100.261278,surisenia plasma taruna,jabal perkasa,surisenia plasma taruna,jabal perkasa,unknown,non group,riau,,po1000004435
7189,7189,Distance,0.000251699503377318,42,100,495.0,hershey,indonesia,berau,1.243126,118.338642,jabon,jabontara eka karsa,jabontara eka karsa,jabontara eka karsa,kuala lumpur kepong (klk),kuala lumpur kepong berhad,kalimantan timur,"rspo certified, mb",po1000005793
7190,7190,Distance,0.16644183351787678,36,42,25.0,hershey,indonesia,kutai timur,0.9918530000000001,116.75369199999999,karyanusa eka daya 1,jak luay,karyanusa ekadaya,tapian nadenggan,astra agro lestari,smartgolden agri resources gar,kalimantan timur,,po1000008274
7192,7192,Distance,0.12486986922793362,7,40,138.0,hershey,indonesia,gunung mas,-1.42146,113.40107900000001,tantahan panduhup asi,jalemo,tantahan penduhup asi,agrolestari sentosa,sumber tani agung (sta),golden agri resources,kalimantan tengah,,po1000007635
7193,7193,Distance,0.1740269669135806,46,46,37.0,hershey,indonesia,siak,0.46424,101.7365,sri indrapura sawit lestari,jalur pusaka sakti kumala,sri indrapura sawit lestari,jalur pusaka sakti kumala,unknown,non group,riau,,po1000008425
7195,7195,Distance,0.0,40,97,15.0,hershey,indonesia,rokan hilir,1.947383,100.737117,simpang damar,jatimjaya perkasa,jatim jaya perkasa,jatimjaya perkasa,gama plantations,gama plantation,riau,,po1000004504
7198,7198,Mill Company,14.88179509989635,21,100,68.0,hershey,indonesia,kutai timur,1.111161,117.02316100000002,muara wahau,jelatang,kresna duta agroindo,kresna duta agroindo,sinar mas,smartgolden agri resources gar,kalimantan timur,"rspo certified, mb",po1000001765
7199,7199,Mill Company,14.661458099600527,36,100,68.0,hershey,indonesia,kutai timur,0.97045,116.828096,rantau panjang,jelatang,kresna duta agroindo,kresna duta agroindo,sinar mas,smartgolden agri resources gar,kalimantan timur,,po1000009356
7203,7203,Distance,0.0,23,100,1715.0,hershey,indonesia,kayong utara,-0.829001,109.88604,sungai sepeti,kalimantan agro pusaka,kalimantan agro pusaka,kalimantan agro pusaka,unknown,non group,kalimantan barat,,po1000007463
7204,7204,Distance,0.003864911512569629,100,100,79.0,hershey,indonesia,sekadau,0.08311,111.19205,kalimantan sanggar pusaka,kalimantan sanggar pusaka,kalimantan sanggar pusaka,kalimantan sanggar pusaka,lyman agro,lyman agro,kalimantan barat,,po1000007534
7206,7206,Distance,0.17986432208487182,40,40,140.0,hershey,indonesia,lampung tengah,-5.0637,104.87663300000001,kriya swarna pubian,kalirejo lestari,kriya swarna pubian,kalirejo lestari,medco agro,sutomo,lampung,,po1000004055
7208,7208,Distance,0.14139843860651158,38,36,126.0,hershey,indonesia,musi banyuasin,-2.2219330000000004,104.1768,pinang witmas sejati,karang agung,pinang witmas sejati,banyu kahuripan indonesia,unknown,matahari kahuripan indonesia,sumatera selatan,,po1000004135
7209,7209,Distance,0.13870403150954433,78,78,1029.0,hershey,indonesia,nunukan,4.0360000000000005,116.927,karang juang hijau lestari,karangjuang hijau lestari,karang juang hijau lestari,karangjuang hijau lestari,fangiono agro plantation (fap agri),karangjuang hijau lestari,kalimantan timur,,po1000005208
7212,7212,Distance,0.126125317339536,25,62,17.0,hershey,indonesia,mukomuko,-2.601342,101.277978,mukomuko pom,karya agro sawitindo,agro muko,karya agro sawitindo,sipef,karya agro sawitindo,bengkulu,"rspo certified, ip",po1000001278
7215,7215,Distance,0.0011165201011707716,100,100,46.0,hershey,indonesia,musi rawas,-2.997939,102.787836,karya indo sejatitama,karya indo sejatitama,karya indo sejatitama,karya indo sejatitama,unknown,anugerah,sumatera selatan,,po1000004075
7220,7220,Distance,0.15713492801410944,49,49,69.0,hershey,indonesia,banyu asin,-2.722018,104.358599,agro palindo sakti,karya sawit lestari,agro palindo sakti,karya sawit lestari,wilmar,karya sawit lestari,sumatera selatan,,po1000003497
7221,7221,Distance,0.16977158616506002,27,27,475.0,hershey,indonesia,serdang bedagai,3.51085,99.20231700000001,tanindo sejati,karya serasi jaya abadi,tanindo sejati,karya serasi jaya abadi,unknown,karya serasi jaya abadi,sumatera utara,,po1000004292
7222,7222,Distance,0.0005590749548490344,100,100,1041.0,hershey,indonesia,aceh barat,4.349722,96.16444399999999,karya tanah subur,karya tanah subur,karya tanah subur,karya tanah subur,astra agro lestari,astra agro lestari,aceh,,po1000004571
7229,7229,Distance,0.14743387468624636,38,46,190.0,hershey,indonesia,ketapang,-1.5464040000000001,110.34401399999999,bukit tunggal jaya,kayung agro lestari,ladang sawit mas,kayung agro lestari,bumitama gunajaya agro (bga),austindo nusantara jaya,kalimantan barat,,po1000004316
7239,7239,Mill Name,7.484352221256563,100,44,190.0,hershey,indonesia,ketapang,-1.382733,110.47956699999999,mulia,kedaton mulia primas,sepanjang intisurya mulia,kedaton mulia primas,genting plantations,palma,kalimantan barat,"rspo certified, mb",po1000004458
7240,7240,Distance,0.15086931538586473,12,45,130.0,hershey,indonesia,ketapang,-2.483162,111.018391,manis mata,kedipi,harapan sawit lestari,maya agro investama,cargill,cargill,kalimantan barat,"rspo certified, ip",po1000001208
7241,7241,Distance,4.907948247896302e-06,100,100,130.0,hershey,indonesia,ketapang,-1.93485,110.49413,kelampai,kelampai,arrtu plantation,arrtu plantation,eagle high plantations,eagle high plantation,kalimantan barat,,po1000007658
7265,7265,Distance,0.12782404501891872,31,52,117.0,hershey,indonesia,sanggau,0.401069,110.264752,kebun garuda prima,kembayan,kebun ganda prima,perkebunan nusantara xiii,salim group,perkebunan nusantara,kalimantan barat,,po1000008661
7266,7266,Distance,0.15983953901647796,37,38,356.0,hershey,indonesia,pesisir selatan,-2.330883,100.995267,silaut,kemilau permata sawit,sumatera jaya agro lestari,kemilau permata sawit,incasi raya (gunas),non group,sumatera barat,,po1000004169
7268,7268,Distance,3.300000006590004e-08,90,76,1059.0,hershey,indonesia,bengkulu utara,-3.3635832999999997,101.82688890000001,kencana ketara kewala,kencana ketara kelawa,kencana katara kewala,kencana ketara kelawa,unknown,bara adipratama,bengkulu,,po1000005204
