,Unnamed: 0,Match Type,Distance Score,Mill Name Score,Mill Company Score,idx,Consumer Company,Country,District,Latitude,Longitude,Mill Name,Consumer Mill Name,Mill Company,Consumer Mill Company,Parent Company,Consumer Parent Company,Province,RSPO,UMLID
2227,2227,Mill Name,,100,26,218.0,procter and gamble,indonesia,indragiri hulu,-0.277042,102.116078,ukui ii,inti indosawit subur pks ukui ii,inti indosawit subur,,royal golden eagle,asian agri,riau,,po1000002491
2228,2228,Mill Name,,100,12,76.0,procter and gamble,indonesia,rokan hulu,1.06108,100.131917,jabal perkasa,jabal perkasa,jabal perkasa,,unknown,pt jabal perkasa,riau,,po1000007524
2229,2229,Mill Name,,100,14,248.0,procter and gamble,indonesia,bungo,-1.444495,101.751319,jamika raya,jamika raya,jamika raya,,incasi raya (gunas),incasi raya,jambi,,po1000004464
2230,2230,Mill Name,,100,9,992.0,procter and gamble,indonesia,belitung timur,-2.996917,107.87665,jangkang,jangkang,sahabat mewah & makmur,,anj agro,austindo pt sahabat mewah dan makmur,bangka belitung,"rspo certified, mb",po1000000531
2231,2231,Mill Name,,100,10,77.0,procter and gamble,indonesia,langkat,4.065217,98.217833,jaya baru pertama,jaya baru pertama,jaya baru pertama,,unknown,jaya baru pratama,sumatera utara,,po1000004563
2232,2232,Mill Name,,100,17,313.0,procter and gamble,indonesia,rokan hilir,1.59869,100.905222,jaya gemilang sukses,jaya gemilang sukses,jaya gemilang sukses,,unknown,jaya gemilang sukses,riau,,po1000007653
2233,2233,Mill Name,,100,26,635.0,procter and gamble,indonesia,merangin,-2.072222,102.485833,jelatang,jelatang,kresna duta agroindo,,sinar mas,kresna duta agroindo,jambi,"rspo certified, mb",po1000001344
2234,2234,Mill Name,,100,20,104.0,procter and gamble,indonesia,rokan hulu,0.45819899999999997,100.802036,kalianta 1,kalianta 1,padasa enam utama,,padasa enam utama,padasa,riau,,po1000004385
2236,2236,Mill Name,,100,21,79.0,procter and gamble,indonesia,sekadau,0.08311,111.19205,kalimantan sanggar pusaka,kalimantan sanggar pusaka,kalimantan sanggar pusaka,,lyman agro,kalimantan sanggar pusaka,kalimantan barat,,po1000007534
2237,2237,Mill Name,,100,23,79.0,procter and gamble,indonesia,sukamara,-2.28805,111.167833,kalimantan sawit kusuma,kalimantan sawit kusuma,kalimantan sawit kusuma,,kalimantan sawit kusuma (ksk),kalimantan sawit kusuma,kalimantan tengah,,po1000004163
2238,2238,Mill Name,,100,22,1027.0,procter and gamble,indonesia,siak,0.8640000000000001,101.286,kamparindo agro industri,kamparindo agro industri,kamparindo agro industri,,unknown,anugerah tanjung medan,riau,,po1000008268
2239,2239,Mill Name,,100,21,229.0,procter and gamble,indonesia,musi banyuasin,-2.261,104.312689,karang agung,karang agung,banyu kahuripan indonesia,,makin,banyu kahuripan indonesia,sumatera selatan,,po1000006225
2240,2240,Mill Name,,98,19,1030.0,procter and gamble,indonesia,kotawaringin timur,-2.23985,112.63045,karunia kencana permai sejati,karunia kencana permaisejati,karunia kencana permai sejati,,wilmar,wilmar international,kalimantan tengah,"rspo certified, ip",po1000004150
2241,2241,Mill Name,,100,17,132.0,procter and gamble,indonesia,mukomuko,-2.710107,101.34100000000001,karya agro sawitindo,karya agro sawitindo,karya agro sawitindo,,sinar jaya agro investama (sjai),sinar jaya agro investama,bengkulu,,po1000008162
2242,2242,Mill Name,,100,30,89.0,procter and gamble,indonesia,rokan hulu,1.312778,100.167777999999,karya agung sawita - ujung batu,karya agung sawita,sumber tani agung,,sumber tani agung,sumber tani agung,riau,,po1000010812
2244,2244,Mill Name,,100,16,44.0,procter and gamble,indonesia,kampar,0.11336099999999999,101.2356,karya indorata persada,karya indorata persada,karya indorata persada,,superventure,pt karya indorata persada,riau,,po1000007546
2245,2245,Mill Name,,100,8,220.0,procter and gamble,indonesia,kotawaringin timur,-1.922451,112.293768,karya makmur sejahtera,karya makmur sejahtera,karya makmur sejahtera,,goodhope,goodhope asia holdings ltd,kalimantan tengah,,po1000004850
2246,2246,Mill Name,,100,27,1037.0,procter and gamble,indonesia,asahan,2.78457,99.61819,karya mitra andalan,karya mitra andalan,karya mitra andalan,,mahkota,mahkota group,sumatera utara,,po1000004126
2247,2247,Mill Name,,100,15,1038.0,procter and gamble,indonesia,batu bara,3.316389,99.31377778,karya pratama niagajaya,karya pratama niagajaya,karya pratama niagajaya,,mahkota,mahkota group,sumatera utara,,po1000004289
2248,2248,Mill Name,,100,18,132.0,procter and gamble,indonesia,mukomuko,-2.461505,101.12382099999999,karya sawitindo mas,karya sawitindo mas,karya sawitindo mas,,sinar jaya agro investama (sjai),sinar jaya agro investama,bengkulu,,po1000008616
2249,2249,Mill Name,,100,8,1040.0,procter and gamble,indonesia,serdang bedagai,3.34228,99.22248,karya serasi jaya abadi,karya serasi jaya abadi,karya serasi jaya abadi,,sumber tani agung (sta),karya serasi jaya abadi,sumatera utara,,po1000004329
2250,2250,Mill Name,,100,20,1041.0,procter and gamble,indonesia,aceh barat,4.349722,96.16444399999999,karya tanah subur,karya tanah subur,karya tanah subur,,astra agro lestari,astra agro lestari,aceh,,po1000004571
2251,2251,Mill Name,,96,23,409.0,procter and gamble,indonesia,kutai kartanegara,-0.15434,117.01007,karya teknik plantation,karya tehnik plantation,karya teknik plantation,,unknown,karya tehnik plantation,kalimantan timur,,po1000008435
2252,2252,Mill Name,,100,11,331.0,procter and gamble,indonesia,katingan,-1.438169,112.874141,katingan central,katingan central,karya dewi putra,,agrosubur,karya dewiputra,kalimantan tengah,,po1000007553
2253,2253,Mill Name,,100,9,15.0,procter and gamble,indonesia,rokan hilir,1.66325,100.59025,kayangan,kayangan,salim ivomas pratama,,salim group,indoagri,riau,,po1000000567
2255,2255,Mill Name,,100,32,130.0,procter and gamble,indonesia,ketapang,-1.93485,110.49413,kelampai,kelampai,arrtu plantation,,eagle high plantations,arrtu plantation,kalimantan barat,,po1000007658
2256,2256,Mill Name,,100,8,397.0,procter and gamble,indonesia,sijunjung,-0.9037780000000001,101.3981389,sijunjung,kemilau permata sawit sijunjung,kemilau permata sawit,,superventure,kemilau permata sawit,sumatera barat,,po1000006186
2257,2257,Mill Name,,100,26,773.0,procter and gamble,indonesia,ketapang,-2.1404,110.5158,kenanga,kenanga,kencana graha permai,,sinar mas,kencana graha permai,kalimantan barat,"rspo certified, mb",po1000001638
2258,2258,Mill Name,,100,21,81.0,procter and gamble,indonesia,rokan hilir,1.783667,100.39241700000001,kencana andalan nusantara,kencana andalan nusantara,kencana andalan nusantara,,unknown,kencana andalan nusantara  kencana persada nusantara,riau,,po1000004487
2259,2259,Mill Name,,95,25,1059.0,procter and gamble,indonesia,bengkulu utara,-3.3635832999999997,101.82688890000001,kencana ketara kewala,kencana katara kewala,kencana katara kewala,,unknown,bara adipratama,bengkulu,,po1000005204
2260,2260,Mill Name,,92,21,81.0,procter and gamble,indonesia,rokan hulu,1.1754069999999999,100.232727,kencana persada nusantara,kencana permata nusantara,kencana persada nusantara,,unknown,kencana persada nusantara,riau,,po1000004442
2262,2262,Mill Name,,100,23,356.0,procter and gamble,indonesia,solok selatan,-1.4677799999999999,101.514439,kencana sawit indonesia,kencana sawit indonesia,kencana sawit indonesia,,wilmar,wilmar international,sumatera barat,"rspo certified, mb",po1000000561
2263,2263,Mill Name,,100,26,491.0,procter and gamble,indonesia,padang lawas,1.068972,100.1172,kencana utama sejati,kencana utama sejati,kencana utama sejati,,unknown,kencana utama sejati,sumatera utara,,po1000007569
2264,2264,Mill Name,,100,15,1064.0,procter and gamble,indonesia,ketapang,-2.4458330000000004,110.265833,kendawangan,kendawangan,gunajaya karya gemilang,,bumitama gunajaya agro (bga),pt gunajaya karya gemilang,kalimantan barat,"rspo certified, mb",po1000003491
2265,2265,Mill Name,,100,17,916.0,procter and gamble,indonesia,seruyan,-2.7846330000000004,112.509533,kerry sawit indonesia 1,kerry sawit indonesia 1,kerry sawit indonesia,,wilmar,wilmar international,kalimantan tengah,"rspo certified, mb",po1000000146
2267,2267,Mill Name,,100,17,1070.0,procter and gamble,indonesia,kutai barat,-0.875633,115.891653,ketapang agro lestari,ketapang agro lestari,ketapang agro lestari,,first resources,ketapang agro lestari,kalimantan timur,,po1000008567
2268,2268,Mill Name,,100,8,100.0,procter and gamble,indonesia,indragiri hulu,-0.752306,102.244639,kharisma agro sejahtera,kharisma agro sejahtera,kharisma agro sejahtera,,unknown,pt kharisma agro sejahtera,riau,,po1000008231
2269,2269,Mill Name,,100,40,1072.0,procter and gamble,indonesia,kampar,0.8260149999999999,100.916237,kharisma wirajaya palma,kharisma wirajaya palma,unknown,,unknown,pt kharisma wirajaya palma,riau,,po1000010794
2270,2270,Mill Name,,100,8,139.0,procter and gamble,indonesia,pelalawan,0.414389,101.66675,si kijang,kijang,multi palma sejahtera,,unknown,buana wiralestari mas,riau,,po1000004172
2271,2271,Mill Name,,100,10,37.0,procter and gamble,indonesia,siak,0.674633,101.72891700000001,kimia tirta utama,kimia tirta utama,kimia tirta utama,,astra agro lestari,kimia tirta utama  astra agro lestari tbk,riau,,po1000004408
2272,2272,Mill Name,,100,9,169.0,procter and gamble,indonesia,aceh timur,4.598267,97.901833,koperasi prima jasa,koperasi prima jasa,koperasi prima jasa,,eka karya,era karya,aceh,,po1000004309
2273,2273,Mill Name,,100,19,1050.0,procter and gamble,indonesia,kampar,0.626717,101.138583,kampar,koto kampar,bumi mentari karya,,superventure,padasa,riau,,po1000004403
2274,2274,Mill Name,,100,27,140.0,procter and gamble,indonesia,lampung tengah,-5.0637,104.87663300000001,kriya swarna pubian,kriya swarna pubian,kriya swarna pubian,,medco agro,kriya swarna pubian,lampung,,po1000004055
2275,2275,Mill Name,,100,8,1208.0,procter and gamble,indonesia,labuhanbatu selatan,1.8123330000000002,100.024367,kuala mas sawit abadi,kuala mas sawit abadi,kuala mas sawit abadi,,dupont & leosk enterprises,kuala mas,sumatera utara,,po1000004489
2276,2276,Mill Name,,100,8,1211.0,procter and gamble,indonesia,kotawaringin timur,-1.970503,112.370324,kuayan,kuayan,agrokarya prima lestari,,sinar mas,agrokarya primalestari,kalimantan tengah,,po1000004655
2277,2277,Mill Name,,100,19,1210.0,procter and gamble,indonesia,labuhanbatu utara,2.408878,99.696714,kurnia mitra sawit,kurnia mitra sawit,kurnia mitra sawit,,unknown,pt kurnia mitra sawit,sumatera utara,,po1000008194
2278,2278,Mill Name,,100,10,678.0,procter and gamble,indonesia,kutai barat,-0.642833,115.7388,kutai agro lestari,kutai agro lestari,kutai agro lestari,,ct agro,kutai agro lestari,kalimantan timur,,po1000007561
2279,2279,Mill Name,,100,29,87.0,procter and gamble,indonesia,kutai timur,0.75,117.35,kutai balian nauli,kutai balian nauli,kutai balian nauli,,chellam plantations,kutai balian nauli  chellam plantations,kalimantan timur,,po1000007638
2280,2280,Mill Name,,100,23,114.0,procter and gamble,indonesia,langkat,3.69194,98.153056,kwala sawit,kwala intan sawit selatan,perkebunan nusantara ii,,ptpn iii,kuala mas,sumatera utara,,po1000007585
2281,2281,Mill Name,,100,29,107.0,procter and gamble,indonesia,aceh timur,5.051111,97.569722,teupin lada,lada,teupin lada,,unknown,surya sawit sejati,aceh,,po1000009561
2282,2282,Mill Name,,100,21,687.0,procter and gamble,indonesia,musi banyuasin,-2.23413,104.332258,lalan,lalan,banyu kahuripan indonesia,,makin,banyu kahuripan indonesia,sumatera selatan,,po1000007474
2283,2283,Mill Name,,100,17,225.0,procter and gamble,indonesia,lampung tengah,-4.70179,105.3728,lambang bumi perkasa,lambang bumi perkasa,lambang bumi perkasa,,sahabat agro,lambang bumi perkasa,lampung,,po1000008392
2284,2284,Mill Name,,100,17,72.0,procter and gamble,indonesia,sarolangun,-2.2237560000000003,102.480456,lambang sawit perkasa,lambang sawit perkasa,lambang sawit perkasa,,lambang jaya,garuda,jambi,,po1000004090
2285,2285,Mill Name,,100,26,345.0,procter and gamble,indonesia,rokan hulu,0.634917,100.591778,langgak inti lestari,langgak inti lestari,langgak inti lestari,,unknown,langgak inti lestari,riau,,po1000007567
2286,2286,Mill Name,,100,25,1237.0,procter and gamble,indonesia,pelalawan,0.303622,101.904783,langgam inti hibrindo,langgam inti hibrindo,langgam inti hibrindo,,provident agro,provident agro,riau,,po1000004164
2287,2287,Mill Name,,100,14,420.0,procter and gamble,indonesia,langkat,3.497324,98.224693,langkat sawithijau pratama,langkat sawithijau pratama,langkat sawithijau pratama,,unknown,langkat sawithijau pratama,sumatera utara,,po1000006202
2288,2288,Mill Name,,100,26,72.0,procter and gamble,indonesia,merangin,-2.100833,102.374444,langling,langling,kresna duta agroindo,,sinar mas,kresna duta agroindo,jambi,"rspo certified, mb",po1000001345
2289,2289,Mill Name,,100,13,228.0,procter and gamble,indonesia,bangka barat,-1.901389,105.47638899999998,maskapai perkebuan leidong west,leidong west,maskapai perkebunan leidong west indonesia,,sinar mas,maskapai perkebunan leidong,bangka belitung,"rspo certified, mb",po1000001372
2290,2290,Mill Name,,100,30,1243.0,procter and gamble,indonesia,ketapang,-2.17,110.667778,lembiru,lembiru,sandika natapalma,,sime darby,sandika natapalma,kalimantan barat,"rspo certified, mb",po1000001867
2291,2291,Mill Name,,100,10,90.0,procter and gamble,indonesia,siak,0.9562780000000001,101.140528,libo sawit perkasa,libo,libo sawit perkasa,,unknown,ivo mas tunggal,riau,,po1000004239
2293,2293,Mill Name,,100,11,66.0,procter and gamble,indonesia,ketapang,-1.716225,110.35436899999999,limpah sejahtera,limpah sejahtera,limpah sejahtera,,first resources,first resources limited pt limpah sejahtera,kalimantan barat,,po1000007571
2294,2294,Mill Name,,100,12,113.0,procter and gamble,indonesia,batu bara,3.16491,99.43033,dolok,london sumatra indonesia pks dolok,perusahaan perkebunan london sumatra indonesia,,lonsum,pp london sumatra indonesia tbk,sumatera utara,,po1000002227
2296,2296,Mill Name,,100,12,7034.0,procter and gamble,indonesia,langkat,3.479046,98.267726,turangie,london sumatra indonesia pks turangie,perusahaan perkebunan london sumatra indonesia,,lonsum,pp london sumatra indonesia tbk,sumatera utara,,po1000002367
2297,2297,Mill Name,,100,18,184.0,procter and gamble,indonesia,rokan hulu,0.667173890519,100.508021837,lubuk bendahara palma industri,lubuk bendahara palma industri,lubuk bendahara palma industri,,unknown,lubuk bendahara palma industri,riau,,po1000010051
2298,2298,Mill Name,,100,12,257.0,procter and gamble,indonesia,pelalawan,0.1263,102.12624699999999,lubuk raja,lubuk raja,serikat putra,,salim group,indoagri,riau,,po1000002653
2299,2299,Mill Name,,100,9,41.0,procter and gamble,indonesia,kotawaringin timur,-1.5677780000000001,112.72111100000001,bukit makmur,makmur,karya makmur bahagia,,bumitama gunajaya agro (bga),tintin boyok sawit makmur,kalimantan tengah,"rspo certified, mb",po1000005302
2300,2300,Mill Name,,100,10,77.0,procter and gamble,indonesia,langkat,3.8069,98.341667,makmur abadi raya,makmur abadi raya,makmur abadi raya,,unknown,makmur abadi raya,sumatera utara,,po1000004541
2301,2301,Mill Name,,100,26,173.0,procter and gamble,indonesia,pelalawan,0.069117,102.1246,makmur andalan sawit,makmur andalan sawit,makmur andalan sawit,,unknown,pt makmur andalan sawit,riau,,po1000004345
2302,2302,Mill Name,,100,18,47.0,procter and gamble,indonesia,ogan komering ulu timur,-4.471586,104.255916,bunga mayang,mayang,wahana karya mandiri kahuripan,,makin,gunungsawit binalestari,sumatera selatan,,po1000004056
2303,2303,Mill Name,,100,17,522.0,procter and gamble,indonesia,padang lawas,1.1287,100.154517,mazuma agro indonesia,mazuma agro indonesia,mazuma agro indonesia,,unknown,mazuma,sumatera utara,,po1000004438
2304,2304,Mill Name,,100,7,7.0,procter and gamble,indonesia,manokwari,-0.8104,133.595074,medco papua hijau selaras,medco papua hijau selaras,medco papua hijau selaras,,medco agro,medco agro,papua barat,,po1000007449
2305,2305,Mill Name,,97,10,568.0,procter and gamble,indonesia,penajam paser utara,-1.24075,116.645,mega hijau lestari,megah hijau lestari,mega hijau lestari,,unknown,megah hijau lestari,kalimantan timur,,po1000006310
2306,2306,Mill Name,,100,18,373.0,procter and gamble,indonesia,bungo,-1.6843,102.2347,megasawindo perkasa,megasawindo perkasa,megasawindo perkasa,,incasi raya (gunas),incasi raya,jambi,,po1000004100
2307,2307,Mill Name,,100,20,14.0,procter and gamble,indonesia,kotawaringin timur,-2.1646900000000002,112.56942,mentaya sawit mas,mentaya sawit mas,mentaya sawit mas,,wilmar,wilmar international,kalimantan tengah,"rspo certified, mb",po1000003150
2308,2308,Mill Name,,100,21,33.0,procter and gamble,indonesia,rokan hulu,1.212517,100.29345,merangkai artha nusantara,merangkai artha nusantara,merangkai artha nusantara,,trinity interlink,trinity interlink,riau,,po1000004444
2309,2309,Mill Name,,100,21,144.0,procter and gamble,indonesia,berau,1.3745,117.144472,merapun,merapun,gunta samba jaya,,salim group,gunta samba jaya,kalimantan timur,,po1000006346
2310,2310,Mill Name,,98,18,37.0,procter and gamble,indonesia,siak,0.5380278000000001,101.729888,meridan sejati surya plantation,meridan sejatisurya plantation,meridan sejatisurya plantation,,first resources,first resources,riau,"rspo certified, mb",po1000002637
2311,2311,Mill Name,,100,9,1292.0,procter and gamble,indonesia,bengkalis,1.54875,102.08845,meskom agro sarimas,meskom agro sarimas,meskom agro sarimas,,sarimas,bumi  tri bakti sarimas,riau,,po1000004470
2312,2312,Mill Name,,100,18,35.0,procter and gamble,indonesia,kotawaringin barat,-2.60852,111.78048799999999,meta epsi agro,meta epsi agro,multi agro gemilang plantations,,unknown,medco agro,kalimantan tengah,,po1000007453
2313,2313,Mill Name,,100,7,315.0,procter and gamble,indonesia,sambas,1.1818600000000001,109.43799999999999,mitra abadimas sejahtera,mitra abadimas sejahtera,mitra abadimas sejahtera,,tanjung rhu plantation,chora agro resources,kalimantan barat,,po1000007462
2315,2315,Mill Name,,100,15,199.0,procter and gamble,indonesia,kampar,0.4537310000000001,101.05566999999999,mitra bumi,mitra bumi,mitra bumi,,septa,padasa  septa group,riau,,po1000004327
2316,2316,Mill Name,,100,15,420.0,procter and gamble,indonesia,langkat,4.053183,98.13628299999999,mitra niaga sejati jaya,mitra niaga sejati jaya,mitra niaga sejati jaya,,unknown,mitra niaga sejati jaya,sumatera utara,,po1000004562
2317,2317,Mill Name,,100,21,1302.0,procter and gamble,indonesia,mukomuko,-3.133789,101.60162,mitra puding mas,mitra puding mas,mitra puding mas,,anglo-eastern plantation (aep),angloeastern plantations plc,bengkulu,,po1000004942
2318,2318,Mill Name,,100,10,528.0,procter and gamble,indonesia,tanjung jabung b,-1.316889,103.086833,mitra sawit jambi,mitra sawit jambi,mitra sawit jambi,,unknown,mitra sawit jambi,jambi,,po1000004110
2319,2319,Mill Name,,100,11,285.0,procter and gamble,indonesia,pelalawan,0.13630599999999998,101.705028,mitrasari prima,mitrasari prima,mitrasari prima,,unknown,mitrasari prima,riau,,po1000007464
2320,2320,Mill Name,,96,26,17.0,procter and gamble,indonesia,batang hari,-1.5851,103.201217,muara bulian,muara bulan,inti indosawit subur,,royal golden eagle,bima agri sawit,jambi,"rspo certified, mb",po1000000279
2322,2322,Mill Name,,100,14,1309.0,procter and gamble,indonesia,rokan hulu,0.959467,100.723783,muara dilam,muara dilam,sumber alam makmur sentosa,,padasa enam utama,padasa  septa group,riau,,po1000004424
2323,2323,Mill Name,,100,17,17.0,procter and gamble,indonesia,musi rawas,-2.9002779999999997,103.1775,muara kandis,muara kandis,djuanda sawit lestari,,sinar mas,djuandasawit lestari,sumatera selatan,"rspo certified, mb",po1000001631
2324,2324,Mill Name,,100,8,901.0,procter and gamble,indonesia,penajam paser utara,-1.351767,116.38291299999999,muaratoyu subur lestari,muaratoyu subur lestari,muaratoyu subur lestari,,triputra agro persada,triputra agro persada,kalimantan timur,,po1000004107
2325,2325,Mill Name,,90,19,1314.0,procter and gamble,indonesia,mukomuko,-2.677972,101.32002,muko muko indah lestari,mukomuko indah lestari,muko muko indah lestari,,sinar jaya agro investama (sjai),sinar jaya agro investama,bengkulu,,po1000008164
2326,2326,Mill Name,,100,16,392.0,procter and gamble,indonesia,serdang bedagai,3.3483110000000003,98.950331,multi agrindo sumatera,multi agrindo sumatera,multi agrindo sumatera,,unknown,multi agrindo sumatera,sumatera utara,,po1000007473
2327,2327,Mill Name,,100,19,195.0,procter and gamble,indonesia,kampar,0.770833,100.885283,multi agro sentosa,multi agro sentosa,multi agro sentosa,,unknown,pt multi agro sentosa  multi palma abadi sejahtera,riau,,po1000004418
2328,2328,Mill Name,,100,17,105.0,procter and gamble,indonesia,paser,-2.380249,116.529703,multi jayantara abadi,multi jayantara abadi,multi jayantara abadi,,teladan prima,teladan prima,kalimantan timur,,po1000008396
2329,2329,Mill Name,,100,8,105.0,procter and gamble,indonesia,paser,-2.150817,116.083859,multi makmur mitra alam,multi makmur mitra alam,multi makmur mitra alam,,padasa enam utama,padasa enam utama,kalimantan timur,,po1000004092
2331,2331,Mill Name,,100,8,230.0,procter and gamble,indonesia,landak,0.35656,109.97425,multi perkasa sejahtera,multi perkasa sejahtera,multi perkasa sejahtera,,unknown,multi perkasa sejahtera,kalimantan barat,,po1000007660
2332,2332,Mill Name,,94,21,233.0,procter and gamble,indonesia,bengkalis,1.39375,101.30525,murini wood indah industri,muriniwood indah industry,muriniwood indah industry,,first resources,first resources,riau,,po1000004257
2333,2333,Mill Name,,100,10,147.0,procter and gamble,indonesia,kuantan singingi,-0.11333,101.29334,mustika agro sari,mustika agro sari,mustika agro sari,,southern acids berhad,southern acids berhad group,riau,,po1000008400
2334,2334,Mill Name,,100,18,234.0,procter and gamble,indonesia,rokan hilir,1.75,100.93333299999999,mustika agung sarana sejahtera,mustika agung sarana sejahtera,mustika agung sarana sejahtera,,unknown,prima sauhur lestari,riau,,po1000007661
2335,2335,Mill Name,,100,35,365.0,procter and gamble,indonesia,tanah bumbu,-3.4886111000000004,115.7386111,mustika,mustika sembuluh 1,sajang heulang,,sime darby,wilmar international,kalimantan selatan,"rspo certified, ip",po1000000829
2337,2337,Mill Name,,100,13,1332.0,procter and gamble,indonesia,agam,-0.320317,99.877317,mutiara agam,mutiara agam,mutiara agam,,provident agro,provident agro,sumatera barat,,po1000004373
2338,2338,Mill Name,,100,9,534.0,procter and gamble,indonesia,bangka tengah,-2.492167,106.36431699999999,mutiara alam lestari,mutiara alam lestari cv,mutiara alam lestari,,unknown,mutiara alam lestari,bangka belitung,,po1000004207
2339,2339,Mill Name,,100,16,37.0,procter and gamble,indonesia,siak,0.855817,101.302617,mutiara unggul lestari,mutiara unggul lestari,mutiara unggul lestari,,mahkota,mahkota group,riau,,po1000004421
2340,2340,Mill Name,,100,13,133.0,procter and gamble,indonesia,labuhanbatu utara,2.26924,99.76791700000001,mutiaranusa agro sejahtera,mutiaranusa agro sejahtera,mutiara nusa agro sejahtera,,unknown,mutiaranusa agro sejahtera   pandawa,sumatera utara,,po1000007662
2341,2341,Mill Name,,100,50,1336.0,procter and gamble,indonesia,aceh singkil,2.43594,97.91529,nafasindo,nafasindo,nafasindo,,unknown,nafasindo,aceh,,po1000004197
2342,2342,Mill Name,,100,17,194.0,procter and gamble,indonesia,kampar,0.7827,101.04956700000001,naga sakti,naga sakti,buana wiralestari mas,,sinar mas,buana wiralestari mas,riau,"rspo certified, ip",po1000001061
2344,2344,Mill Name,,100,18,68.0,procter and gamble,indonesia,kutai timur,0.278889,116.844444,nala palma cadudasa,nala palma cadudasa,nala palma cadudasa,,npc resources berhad,nala palma cadudasa,kalimantan timur,,po1000008160
2345,2345,Mill Name,,100,33,523.0,procter and gamble,indonesia,indragiri hulu,-0.6774720000000001,101.913583,napal,napal,idriplant,,salim group,indoagri,riau,,po1000002651
2346,2346,Mill Name,,100,29,101.0,procter and gamble,indonesia,tapanuli tengah,2.0840919999999996,98.31222199999999,nauli sawit,nauli sawit,nauli sawit,,unknown,era cipta,sumatera utara,,po1000005145
2347,2347,Mill Name,,96,11,49.0,procter and gamble,indonesia,labuhanbatu,2.359722,100.035278,negeri lama ii,negeri lama i,hari sawit jaya,,royal golden eagle,socfin pt hari sawit jaya,sumatera utara,"rspo certified, mb",po1000003004
2349,2349,Mill Name,,100,17,462.0,procter and gamble,indonesia,lamandau,-2.091933,111.48705,nirmala agro lestari,nirmala agro lestari,nirmala agro lestari,,astra agro lestari,nirmala agro lestari,kalimantan tengah,,po1000004932
2350,2350,Mill Name,,100,30,632.0,procter and gamble,indonesia,nunukan,3.831924,116.75797299999999,nunukan sawit mas,nunukan sawit mas,nunukan sawit mas,,unknown,kuala mas,kalimantan timur,,po1000004544
2351,2351,Mill Name,,100,23,249.0,procter and gamble,indonesia,kotawaringin timur,-2.106833,112.79416699999999,nusantara sawit persada,nusantara sawit persada,nusantara sawit persada,,cipta plantation,cipta plantation,kalimantan tengah,,po1000008184
2352,2352,Mill Name,,100,14,133.0,procter and gamble,indonesia,labuhanbatu utara,2.3191669999999998,99.839444,padang halaban,padang halaban,sinar mas agro resources and technology,,sinar mas,smart,sumatera utara,"rspo certified, ip",po1000001079
2354,2354,Mill Name,,100,20,104.0,procter and gamble,indonesia,kampar,0.5290279999999999,100.776972,kalianta 2,padasa enam utama kalianta 2,padasa enam utama,,padasa enam utama,padasa enam utama,riau,,po1000004195
2355,2355,Mill Name,,100,16,562.0,procter and gamble,indonesia,deli serdang,3.5419440000000004,98.794167,palm trimitra indotama,palm trimitra indotama,palm trimitra indotama,,unknown,trimitra,sumatera utara,,po1000004486
2356,2356,Mill Name,,100,14,2.0,procter and gamble,indonesia,muaro jambi,-1.3213,103.26525,palma abadi,palma abadi,palma abadi,,unknown,palma abadi,jambi,,po1000004452
2357,2357,Mill Name,,100,9,206.0,procter and gamble,indonesia,muaro jambi,-1.8745759999999998,103.560276,palma jaya sejahtera,palma jaya sejahtera,palma jaya sejahtera,,unknown,palma jaya sejahtera,jambi,,po1000004498
2358,2358,Mill Name,,100,11,1365.0,procter and gamble,indonesia,bengkulu tengah,-3.777933,102.369,palma mas sejati,palma mas sejati,palma mas sejati,,unknown,palma mas sejahtera,bengkulu,,po1000004538
2359,2359,Mill Name,,100,20,402.0,procter and gamble,indonesia,padang lawas utara,1.55403,99.83569399999999,paluta inti sawit,paluta inti sawit,paluta inti sawit,,unknown,pt paluta inti sawit,sumatera utara,,po1000007540
2360,2360,Mill Name,,100,26,523.0,procter and gamble,indonesia,kampar,0.423633,101.58915,pangkalan baru indah,pangkalan baru indah,pangkalan baru indah,,unknown,wasundari indah,riau,,po1000004383
2361,2361,Mill Name,,100,9,93.0,procter and gamble,indonesia,banyu asin,-2.948531,104.466511,pangkalan panji,pangkalan panji,sawit mas sejahtera,,sinar mas,sawit mas sejahtera,sumatera selatan,"rspo certified, mb",po1000001612
2362,2362,Mill Name,,100,27,133.0,procter and gamble,indonesia,labuhanbatu,2.10305,99.94766,pangkatan,pangkatan indonesia,pangkatan indonesia,,mp evans,pt pangkatan indonesia  mp evans,sumatera utara,"rspo certified, mb",po1000000283
2363,2363,Mill Name,,100,25,92.0,procter and gamble,indonesia,sekadau,0.213083,111.07863300000001,parna agromas,parna agromas,parna agromas,,lg international,parna agromas  lg international,kalimantan barat,,po1000004361
2365,2365,Mill Name,,100,18,1378.0,procter and gamble,indonesia,bengkayang,0.740717,108.94186699999999,patiware,patiware,patiware,,gama plantations,ganda sawit,kalimantan barat,,po1000004869
2366,2366,Mill Name,,100,17,66.0,procter and gamble,indonesia,ketapang,-1.5212219999999999,110.45891499999999,pekawai,pekawai,agro lestari mandiri,,sinar mas,agrolestari mandiri,kalimantan barat,,po1000001637
2367,2367,Mill Name,,100,21,277.0,procter and gamble,indonesia,tanah laut,-3.7254669999999996,114.786267,pelaihari,pelaihari,perkebunan nusantara xiii,,ptpn iii,perkebunan nusantara xiii,kalimantan selatan,,po1000004066
